tempo,ID,Chills?,Goosebumps,Chills intensity,#Chills,Stimulus,Duration (in seconds),Arousal pre,Valence Pre,Mood Pre,Arousal Post,Valence Post,Mood post,Liking,Prior Exposure,Reminiscence,spectrogram_pca,mfcc_pca,chroma_pca
0,3,Yes,Yes,100,4,Miserere Me (Audio),1619,10,8,5,0,10,5,10,2,No,"[-13.520295796098745, -5.646265364272731, -0.8160903654698728, -3.3971851153574155, 1.332550249101508, -4.660968610597293, -0.7907269610969361, 0.948338443823524, -0.649420902354833, -4.276907558522653, -3.174190314433445, -2.9281975087187364, -0.6458060347982957, 14.475268543278023, 3.361494078546213, -0.07786622280808735, -0.20808619772251633, -0.018900157895761622, -0.420983145206619, -1.1273185866624147e-14]","[39.491204646840075, -4.024765578501591, 1.151252675381703, -0.3416720764991076, -4.74181269326816, 2.000578885467918, -0.5921382619263442, 1.0179042847593494, 1.1053591555361508, -2.4046845551617118]","[-12.039051604457562, 0.3683309019543762, -0.6441917436696195, -0.8079921943643475, -0.39482479642987367]"
0,63,No,No,0,1,Miserere Me (Audio),1119,5,4,4,5,4,4,5,2,No,"[-13.520295796098972, -5.646265364273068, -0.8160903654699407, -3.3971851153576673, 1.3325502491015726, -4.660968610597276, -0.7907269610969913, 0.9483384438236747, -0.6494209023547655, -4.276907558522738, -3.1741903144335915, -2.928197508718799, -0.6458060347983703, 14.475268543277982, 3.361494078546278, -0.07786622280838552, -0.2080861977226685, -0.018900157895665837, -0.420983145206919, 1.68407192280137e-14]","[39.49120464683985, -4.0247655785016985, 1.1512526753810108, -0.34167207649946896, -4.741812693268662, 2.000578885467895, -0.5921382619275073, 1.0179042847602073, 1.1053591555367794, -2.4046845551632554]","[-12.039051604457665, 0.3683309019533029, -0.644191743669911, -0.8079921943625599, -0.39482479643021096]"
0,80,No,No,0,1,Miserere Me (Audio),1500,10,0,5,10,10,1,0,2,Yes,"[-13.520295796099093, -5.64626536427295, -0.8160903654702611, -3.3971851153574955, 1.3325502491014467, -4.660968610597504, -0.7907269610969695, 0.9483384438235468, -0.6494209023549, -4.2769075585226055, -3.1741903144337686, -2.9281975087188297, -0.6458060347982518, 14.475268543278117, 3.36149407854622, -0.07786622280811331, -0.2080861977224463, -0.018900157895774164, -0.42098314520675845, -6.01988459041789e-14]","[39.491204646839485, -4.02476557850137, 1.1512526753811843, -0.3416720764992958, -4.741812693268374, 2.0005788854678923, -0.5921382619270835, 1.0179042847598019, 1.1053591555363242, -2.404684555162277]","[-12.039051604457665, 0.3683309019532797, -0.6441917436696392, -0.807992194362639, -0.39482479642993873]"
0,115,No,No,0,1,Miserere Me (Audio),7267,3,6,4,6,5,4,6,2,No,"[-13.52029579609841, -5.646265364272862, -0.816090365469864, -3.3971851153574413, 1.3325502491018741, -4.660968610597562, -0.7907269610968353, 0.94833844382359, -0.6494209023547782, -4.276907558522538, -3.1741903144335097, -2.9281975087188474, -0.6458060347980233, 14.475268543278187, 3.3614940785463716, -0.07786622280811936, -0.20808619772266038, -0.018900157895806523, -0.4209831452065425, 5.5863414887225775e-14]","[39.491204646839584, -4.02476557850144, 1.1512526753813315, -0.34167207649926135, -4.741812693268184, 2.0005788854676942, -0.5921382619269507, 1.0179042847601323, 1.1053591555366753, -2.404684555162197]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.807992194362596, -0.3948247964299457]"
0,162,Yes,No,83,4,Miserere Me (Audio),2223,6,7,4,9,8,5,9,2,No,"[-13.520295796099122, -5.6462653642730745, -0.8160903654699051, -3.397185115357485, 1.3325502491017467, -4.660968610597505, -0.7907269610967717, 0.9483384438236208, -0.6494209023548703, -4.276907558522576, -3.1741903144337233, -2.928197508718828, -0.6458060347983072, 14.475268543278215, 3.361494078546188, -0.07786622280826504, -0.20808619772279174, -0.018900157895984565, -0.42098314520672275, 1.2509171550823524e-13]","[39.49120464683949, -4.024765578501356, 1.1512526753814818, -0.34167207649917897, -4.741812693268265, 2.0005788854678763, -0.5921382619268954, 1.017904284759473, 1.1053591555364348, -2.404684555162154]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299914]"
0,185,No,No,0,1,Miserere Me (Audio),1443,5,5,4,5,3,3,0,2,No,"[-13.520295796099184, -5.646265364272918, -0.8160903654698451, -3.3971851153573813, 1.3325502491018504, -4.660968610597444, -0.7907269610968033, 0.9483384438236532, -0.6494209023548343, -4.276907558522497, -3.1741903144335866, -2.9281975087188132, -0.6458060347983665, 14.47526854327819, 3.3614940785463334, -0.07786622280831165, -0.20808619772262527, -0.018900157895647748, -0.4209831452069346, 1.0014638477714564e-13]","[39.49120464683961, -4.024765578501473, 1.1512526753812478, -0.34167207649928294, -4.741812693268425, 2.0005788854678292, -0.5921382619282588, 1.0179042847606885, 1.105359155537133, -2.4046845551616456]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.39482479642996327]"
0,195,No,No,0,1,Miserere Me (Audio),2828,7,7,4,4,6,4,8,2,No,"[-13.520295796098972, -5.646265364272745, -0.8160903654698685, -3.3971851153576917, 1.3325502491014758, -4.660968610597424, -0.7907269610970334, 0.9483384438235551, -0.6494209023547616, -4.27690755852256, -3.174190314433631, -2.9281975087189167, -0.6458060347984231, 14.475268543278013, 3.361494078546218, -0.07786622280810593, -0.20808619772239792, -0.018900157895870153, -0.420983145206688, -9.29988275016892e-14]","[39.49120464683956, -4.024765578501423, 1.1512526753813461, -0.34167207649923886, -4.7418126932683595, 2.0005788854678404, -0.5921382619269586, 1.017904284759379, 1.1053591555361495, -2.4046845551625684]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.39482479642996376]"
0,209,No,No,0,1,Miserere Me (Audio),1296,3,2,5,0,0,5,3,1,No,"[-13.520295796097633, -5.646265364272929, -0.8160903654699809, -3.397185115357476, 1.3325502491017585, -4.660968610597505, -0.7907269610968175, 0.9483384438234216, -0.6494209023546837, -4.276907558522657, -3.1741903144336696, -2.9281975087187915, -0.6458060347982985, 14.475268543278217, 3.3614940785462233, -0.07786622280825364, -0.2080861977225481, -0.01890015789584348, -0.4209831452068066, 3.128116797030068e-14]","[39.49120464683951, -4.02476557850138, 1.1512526753814334, -0.34167207649920145, -4.74181269326829, 2.0005788854678044, -0.5921382619268786, 1.0179042847596715, 1.1053591555362847, -2.4046845551624365]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.39482479642996016]"
0,243,Yes,Yes,76,4,Miserere Me (Audio),1396,3,3,2,0,7,4,10,1,No,"[-13.520295796098967, -5.646265364272788, -0.8160903654700907, -3.3971851153576944, 1.3325502491017427, -4.66096861059746, -0.7907269610970392, 0.9483384438235927, -0.6494209023548568, -4.276907558522757, -3.174190314433543, -2.9281975087187266, -0.6458060347982982, 14.475268543277984, 3.3614940785463285, -0.0778662228082587, -0.2080861977228397, -0.018900157895682806, -0.4209831452067911, 1.1292632492960314e-13]","[39.491204646839535, -4.024765578501401, 1.1512526753813908, -0.3416720764992197, -4.741812693268324, 2.0005788854678217, -0.5921382619269333, 1.0179042847596322, 1.1053591555362277, -2.40468455516245]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,330,No,No,0,1,Miserere Me (Audio),1707,5,5,3,4,5,3,4,2,No,"[-13.520295796099507, -5.646265364272899, -0.8160903654700165, -3.3971851153576154, 1.3325502491016399, -4.660968610597541, -0.790726961096865, 0.9483384438237038, -0.6494209023547312, -4.276907558522787, -3.174190314433688, -2.928197508718861, -0.6458060347983131, 14.475268543278201, 3.361494078546246, -0.07786622280788552, -0.2080861977224159, -0.018900157895615072, -0.4209831452066853, -1.4961539592669757e-13]","[39.4912046468396, -4.024765578501459, 1.1512526753812755, -0.3416720764992692, -4.741812693268415, 2.000578885467869, -0.5921382619270847, 1.0179042847595103, 1.1053591555362652, -2.4046845551626914]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,347,Yes,Yes,28,4,Miserere Me (Audio),1136,10,10,5,10,10,5,10,2,No,"[-13.52029579609918, -5.646265364272838, -0.8160903654699927, -3.3971851153576766, 1.3325502491016807, -4.660968610597502, -0.7907269610969595, 0.9483384438236079, -0.649420902354724, -4.276907558522613, -3.174190314433601, -2.9281975087187884, -0.6458060347983202, 14.475268543278164, 3.3614940785461536, -0.07786622280806571, -0.20808619772246395, -0.018900157895809334, -0.42098314520660546, -1.865758974753141e-14]","[39.491204646839535, -4.024765578501401, 1.1512526753813905, -0.3416720764992198, -4.741812693268324, 2.000578885467822, -0.5921382619269369, 1.0179042847596476, 1.1053591555363762, -2.404684555162389]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,360,No,Yes,0,1,Miserere Me (Audio),3177,0,8,4,0,8,5,8,2,No,"[-13.52029579609935, -5.6462653642729235, -0.8160903654699357, -3.397185115357583, 1.3325502491015235, -4.660968610597311, -0.7907269610969068, 0.9483384438234697, -0.6494209023548339, -4.276907558522466, -3.1741903144336416, -2.9281975087187777, -0.6458060347982366, 14.475268543278052, 3.3614940785462224, -0.077866222808118, -0.2080861977226033, -0.01890015789565804, -0.42098314520714253, 1.3162603786255159e-13]","[39.491204646839556, -4.02476557850142, 1.1512526753813537, -0.34167207649923564, -4.741812693268353, 2.0005788854678372, -0.5921382619269843, 1.0179042847596034, 1.1053591555363387, -2.4046845551624867]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
