file,tempo,spectrogram_pca,mfcc_pca,chroma_pca
Air France,[80.35714286],"[-469.670284280409, 15.947745505262445, -30.62842499157848, -79.87891575631814, -65.10360329962077, -85.03162361877312, -22.569809455468206, -48.49997798671967, 33.892872557403315, 15.23442633655534, -50.046581034872894, 32.9632621169538, -12.678066309204382, -32.53070140043385, 36.16721315431598, -1.4218919277443771, 317.6742064357092, 81.52669575793847, 33.6324211988815, 34.18357040574286]","[-24.998340399908393, -63.71057156214729, 51.132936269487054, 26.203562878562675, -19.037922751334325, 8.944785439205285, -7.90679658830596, 19.899376480646254, -17.377807423468354, 10.79997075575433]","[-8.984206281966065, -35.92753180648671, -78.13093885634974, -10.878917024343751, -12.436846673551862]"
Be Kind (Everything Everywhere All At Once),[127.84090909],"[17.90996071199449, -109.94511284638202, 206.76761870810188, 78.8965836957618, -71.55335464799938, 13.12010688814852, 69.72835250438197, -369.20847270609494, 414.3832744411999, -62.284082510413334, 329.91483795737594, -21.629202944911782, 93.84298028785523, 19.27324792218213, -28.310680727842584, -19.765586428161704, -18.445789745190673, -0.16800883781949483, -1.8136054097685532, 2.91273879110199]","[-29.089213832240084, 24.56885946363409, 10.842897875228797, 21.431411542792564, -20.60317349850656, -2.003977370303905, 23.929597555849803, 1.6785798818473345, 8.694777106144807, 2.7955314917638776]","[48.46432838283309, 26.296697935938194, -4.399632717738753, -30.377731359168404, -7.225852083611031]"
Interstellar with Hans Zimmer,[187.5],"[-605.4912467451104, 157.04123039186868, -73.31154113563291, -127.66201223656836, 7.454708735332388, -2.150128148140948, 52.42238829524513, -66.62577037921221, -99.6757751806033, -14.820921569120191, -5.221677198403746, -102.96775178029215, -11.114305370851326, -9.234998716643286, -9.852857841179686, -19.61246445642504, -34.28424600256534, -53.53374916422271, -54.01608707069982, -24.21436436785957]","[-16.9284220764973, -73.55788992208414, -49.431776808901404, 9.25104222490322, 4.805948578958695, 15.617985942226179, -22.25478635007427, -7.241790259012792, 7.342727424419936, 4.572428419343689]","[-94.82613503052231, -1.7749724667878126, 17.624636266806455, 18.054393755944673, -6.917849947722957]"
Mr Rogers Testimony,[117.1875],"[-59.07923225891001, -234.18238890450414, -13.522123893645137, -148.18668530433644, -34.26775340569336, -83.17409414336426, -41.66440275223286, -70.35179036146724, 77.34321827339761, 17.90890684458303, -197.09107498377608, 277.3375327741699, -144.04890622392156, 164.1855152378383, -284.00740217372663, -57.092705958758415, -23.768425863898685, -27.116017240808972, -3.364957622279596, 2.992457364811384]","[-29.287463915742492, -11.077439644321835, 20.253068696946485, 49.1087112196352, 42.86528974210177, -43.730657516733984, -16.78738004686426, 51.641772903963705, -2.073933611862109, -46.26369269277781]","[31.318022987533325, 36.78315666050343, -3.435383023700412, -26.02089425437348, -14.980271823450412]"
Hunger Games,[100.44642857],"[-510.9446174551375, 114.8058392328185, -66.95702957529507, -99.69324489262917, 8.862463254081424, 1.2424605803805828, 59.40089757779847, -70.53895839352852, -111.71042269439229, 1.8898643211529769, -2.5377638323576353, -105.68749430656042, -27.567163490134647, -17.76575474293782, -68.80005760035353, -31.208431841107007, -128.5347130347651, 247.88419399598374, 37.224130989194876, 2.4360491868532854]","[-25.494231888997987, -34.84028816624317, -27.18265734171914, -13.832354406279022, -0.9829540476430807, 21.40320405729855, -12.699659356346112, 18.930614132120226, 15.617946873501829, 9.177130073143337]","[-4.124173870349597, -43.73664340247998, -25.552245564089244, 7.12915853987477, 44.95275540971617]"
Cloud Atlas,[140.625],"[173.74077272777038, -190.03853277038002, -0.8240814813260454, 139.91983466099677, -55.096889069392624, -241.05323009336837, -198.78195464621672, 119.5379167160077, 112.4793224088162, 488.5418403937894, -50.42026699031319, -229.8307211069454, 68.16700597145447, 59.61942486966983, -31.939251509417222, 7.463893080083792, -12.705075812736293, -9.124278629260047, 1.8463693307714577, -1.4543770619437535]","[-9.861669954726391, 13.101947958359238, 21.485580696975525, 30.632340503767274, -29.241828111319073, -18.27120491469072, 15.666228246973581, 7.218249728373428, 22.69862638355043, -10.644816616334468]","[32.13367907120955, -2.9656684518348237, -14.310023283800628, 20.502364948981715, -28.797465290660245]"
A Thing About Life,[127.84090909],"[-38.140060203990146, -88.64919951903639, 20.159879510417788, 172.30702690266017, -46.962851189098075, 99.72809228166446, -164.85376117429266, 375.83472556688093, 54.81117537933053, -84.0547730381816, 268.7302521294418, -10.564410351899745, -233.72272056506358, -179.1001613905915, -96.6636524480488, -112.00818049420008, 10.06580702057528, -3.965677270799694, -11.481983489333748, 0.5008848848170773]","[12.390704144474174, 22.373629079838363, 24.198669303779937, -64.91734533248712, 17.805789033045905, 5.82940138295047, -12.277899791080717, -4.61277701356264, 25.27786931278811, -23.685820776625548]","[-16.158611721284906, 59.2594006059516, 33.742862132499795, 3.17883829958705, 35.271244645796855]"
Remembering the Titans,[170.45454545],"[734.3941484962064, -521.5540340658101, -83.5003261662806, -450.9101392446857, 453.99999625163997, 303.5054438247366, 64.2209515612088, -2.246410736201302, -62.98985322258743, 66.83209587383136, 78.44420272768, -64.70506559962709, -1.70251776600097, 4.093383549668933, 25.66817562487176, 7.6518659194421, 31.704714401838956, 2.412670780210649, -0.11774023433408003, -3.399751752225015]","[54.340393776683285, 72.69481226398364, -69.04556905959926, 38.157326226929655, 45.43647907729886, 10.187103899620588, -12.061069391925585, 14.940371129019567, -30.954662166342786, -7.5970627786847915]","[-16.799982168454136, 1.4632091942612098, -21.113010140365674, -0.3121669221153456, 52.66328166484412]"
Amélie - Helping a Blind Man,[137.19512195],"[429.6722606181588, -213.16779238873954, 73.74714819388201, 136.987149444212, -204.08318955413623, -159.70315636419804, 689.6307726313257, 154.12447201803806, -65.6797942009751, 19.27957033825104, -8.592129810423389, 2.7127631776039403, -11.628344656696633, -8.633106564514012, 7.300254261912523, 6.703756180392287, 7.166175332446053, -4.990950195792662, -0.995174150733385, -2.616087655336294]","[62.61953433206015, 1.867488644497888, -0.2844190955350022, 13.838667506135431, -43.700276907501994, -73.23423136650199, -58.19230435034773, -31.429657028555994, -2.425050698195439, 29.887740880502417]","[19.19591899772692, 6.210816302279095, -11.252111698144958, -6.206567621190456, -2.640884513449549]"
Giving Is The Best Communication,[53.57142857],"[213.85382224218495, -119.85453487553532, -49.911293837606095, 224.26211519328052, -459.08629926199933, 600.4772502760411, -89.860355253767, -73.06514804751878, -142.30208618545055, 40.21455092228021, -84.63709764458787, -7.410498206397629, 80.26763038966595, 56.04697706823949, 4.372994007257816, -4.040149146336225, 11.065103239075203, -1.915310541227832, 1.4663814014580117, -2.163096711234463]","[4.330863594667269, -9.955970306740532, -9.079038818719715, -30.612094075114992, 54.31290502886971, -48.76107074070298, 53.408059384883764, 4.7461043578452236, 28.91345212657451, 46.8372679442574]","[-36.19954957987578, -5.773193109122152, 20.795449436076254, -1.5037256767517782, -55.83355230680188]"
Unsung Hero,[74.01315789],"[1133.17220693083, 541.2084693852802, -724.3984775781439, 48.7565783170434, 8.877505773461655, -58.45529461064589, -0.965082944727714, -50.6438884155177, 133.41672602443327, -71.16335638993213, -36.19356902293409, -28.11922783521842, -36.84521261687776, -3.486661359414997, -9.038911902412876, -4.531679362285552, 6.8684202636884955, -0.41086111722388163, 3.1673275286982903, -2.348556425672224]","[30.393341556493617, 21.3233166864462, -33.85677181399128, -23.787599499202663, -18.36882585402097, -9.159520950548004, 31.286823257851736, -0.497555915375889, -29.674057125593336, -2.0267849860546603]","[70.69906376279415, 23.83133320396845, 17.05855911539979, 9.599798110932838, -1.570336052047185]"
Muhammed Ali,[93.75],"[-303.8105741484077, 69.34091898164203, -10.227281099922306, 94.56413832239778, 88.80806746360001, 2.737827095966364, -24.833542974103363, 117.92242231479618, 36.11712301427688, -1.1864857363377692, 77.66323577863702, 103.65620414106924, -130.44115906816344, 311.6812470769086, 286.44486275726587, -86.50695302755548, -33.5061569097556, 13.687840763499144, -2.1071650299594156, 10.415847088173114]","[-2.6121028802096076, 13.429955472046448, 31.170676396287366, -53.8756568698766, 21.081960736588854, -7.434471669476103, -31.329643026753594, -35.548150417444916, -2.469661453435792, -47.54507216038116]","[-58.08050944317386, -11.064906086632826, 48.18302149345662, -5.447717164974657, 18.14652900544556]"
A Perfect Planet,[144.23076923],"[-211.65063950194275, 150.41176083203231, -131.5036021939133, -16.094392917479887, 89.27982487454442, -47.58034715368694, -39.15794831441777, 203.6581058716825, -110.87266991664586, 56.789534479708315, 179.62948621283468, 277.1174870723789, 391.00689626813045, -18.19365909400101, -43.280007979186294, -5.387636416410078, -15.842243992599169, 4.714372634507924, -6.165111331017885, 5.3451215814071205]","[-29.055874703625133, -11.855720361289384, 25.893251983732615, -24.447348376171497, -4.775057451406013, -1.979518162167563, 19.933935553816774, -14.25248897206263, -84.81519655150436, 1.9043081510262976]","[-37.18121024298318, 24.256441491890367, -24.260479382513108, 64.48186610237072, 15.304168842369577]"
Italians Making Music on Balconies Under Coronavirus Quarantine,[130.81395349],"[-301.77284746749535, 40.35101526562682, -8.698741271998173, 63.85262617000736, 32.86668706028916, 40.889031441881684, -36.052409565842304, 79.8244971371603, 27.503366523487827, -37.982792043232216, 71.01820998675647, 27.786690980823572, -104.95659406461711, 39.3532101284658, -25.840464589827082, 400.5441487045775, -18.855859529069836, -4.889062015790433, 3.2140426587541313, 9.369249065356215]","[-32.50541035879449, 36.053743348600065, -10.874821142040686, 14.161014791380431, 3.272873896791797, 23.763833431511483, -9.751460959477601, -36.114241112926464, 31.127720961944892, 4.440738975885089]","[71.15602561633017, -7.161539209934384, 7.189364836050331, -17.633566938696276, -11.164564034260593]"
Won't You Be My Neighbor? (Mr. Roger's Documentary),[152.02702703],"[-11.39967076778005, -242.79679991233607, -69.68119042568911, -176.2047545763025, -182.58003209646702, -111.24512070830659, -95.00734480063915, -125.72261632974573, 61.49534655533772, 108.52172675647765, -121.1533060583187, 213.03324887861203, -71.38140981848657, -271.36644973322535, 218.8722873838347, 16.52493927760807, -91.50378377719667, -9.651195606756563, -0.8183747936556839, 9.516636508615424]","[47.930462037853694, -30.74923645640867, 41.97550479620177, 54.373398433574565, 36.29658724789862, 20.269428600604545, 37.550033922115816, -61.99028132762611, 3.4440371389274507, -4.934434259648633]","[-19.843993669486775, -7.385838569786817, -14.565679751667881, 52.822792315547446, -38.1016576032834]"
Hans Zimmer - Time,[127.84090909],"[-21.256762445810214, 171.6373707199839, 255.70459776313413, 540.0606578494773, 487.59898229812603, 156.5357795464124, 63.67974938867768, -67.83609990943219, 75.32789342520849, 36.67423567569205, -243.04654871518792, 62.5050263945107, 9.789435009945095, -106.69443191538308, -0.04527207205153712, -21.169794005963865, 2.555389170873675, 11.205263129687372, -14.673059185250146, -7.706036224351598]","[-52.987867874614956, 93.6443489272866, 5.9143902388470755, 12.620664418401052, -46.83907203611717, 6.2752704243245665, 21.374406060482475, 2.646228945027927, 6.824241611785077, -1.3617280949628552]","[76.97264688819361, 9.831238669877633, -7.789702503030428, -16.648759107285876, -3.366422246846908]"
Rocky - Retrospective,[181.4516129],"[25.060560089045676, -272.89601852508275, 93.75661888024364, -103.2166554938593, -58.24997863496441, -79.92284779272941, -122.19100792413957, 233.14578417900736, 221.73994719979908, -382.3098843539153, -261.3724452624421, -147.54449010927055, 180.5278529801342, 21.634539813628503, 36.42627988222132, 2.016125219916466, -28.302610335942834, 8.382655530466156, -3.2475888497320695, 3.742975977919606]","[30.28896291566917, 39.427416815664934, 59.374243079198806, -9.247846906344666, 23.753422370028343, 46.730710271027036, -38.385931093910706, 37.938989395658886, -5.351729889281693, 53.31438355166322]","[21.566142829535377, 11.368296102695448, -6.068688862728375, -12.974645701175227, 9.83674956567427]"
The Great Dictator,[127.84090909],"[-584.6523326496693, 169.08685370825438, -63.110772776037976, -84.6244391754261, 43.930668458473654, 17.33009939946882, 69.88978699612174, -75.51768575477392, -102.69347473248023, -12.357304472766186, -14.839120319048863, -133.28031763521207, 0.0974556785717134, -25.12860348562942, -27.969053117213573, -42.10205044985709, -27.708837263663924, -101.33645993766967, -51.20524155891697, 154.96000970812156]","[-71.16191049275794, -14.928852622249407, -35.226637782655295, -25.0414382166744, 7.163146210822688, -20.634264128218614, -4.198382382652028, 8.029877475880344, -3.8167503576756308, 8.771075824490257]","[-106.72678054733304, 7.839805929707669, -32.6810550920637, -49.79364517192122, -4.879011939794873]"
We Think Too Much and Feel Too Little,[119.68085106],"[-535.2227778422138, 122.00466698955411, -28.327621686337103, -53.09645096388066, 45.008775066683306, 4.639315880072065, 34.75613539007234, -33.928369058651434, -59.244217485041546, -25.98197174873196, -1.724973078321123, -68.23053396860122, -0.45858221230342766, -21.628329869012315, -4.692405212239525, -32.77540132662529, -15.577420504363468, -117.62198268613378, 204.2292259497584, -59.920663314992055]","[-16.04934304031214, -18.020236590317435, -36.88559557336682, 11.95354539544049, -9.997962148658413, 31.01864698768078, -19.282975241611606, -20.816436351525706, 13.52629565388409, -5.8241856995330785]","[84.76687842670194, -37.0301499879758, 19.63066904215066, 37.14891128017506, 13.639442752014975]"
Aramaic Choir,[127.84090909],"[874.6474375026422, 638.5068055193792, 677.1548508894838, -325.915028422344, -100.48005448650366, -1.4379165493915913, -68.62986926405206, 44.26172773837818, -53.84267131016946, 36.97613095501208, -11.784357422678482, 10.55875610206037, -24.856377769740728, 4.025136875244982, 2.862823337992712, 3.5448064944139577, 3.0885728635191896, 0.4960679867671741, 0.6938938656444711, 0.6430801211230299]","[51.501550556657264, -37.128864905313684, -33.20950469169378, -13.203346687918406, -27.19894070167473, 24.18877119748892, 16.27864217777013, 14.22042900613786, -12.198961361538496, -11.626527491178582]","[-21.965055222229577, -83.32756672841907, 51.39988112313006, -17.07628283041381, -10.238416192378478]"
